Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-08-02,1135.75,1136.44,1119.77,2428689719.0,0.0
2018-08-01,1128.03,1133.62,1125.77,2412182818.0,0.0
2018-07-31,1133.03,1135.07,1125.53,2422864013.0,690184.0
2018-07-30,1124.63,1131.72,1122.36,2405595399.0,0.0
2018-07-27,1130.58,1142.21,1122.75,2418330376.0,0.0
2018-07-26,1134.53,1138.77,1131.35,2426766736.0,0.0
2018-07-25,1125.74,1125.77,1113.93,2407968675.0,0.0
2018-07-24,1116.35,1132.36,1114.83,2387881610.0,0.0
2018-07-23,1125.87,1128.84,1115.9,2408247018.0,0.0
2018-07-20,1117.47,1123.6,1116.79,2479587067.0,0.0
2018-07-19,1126.49,1129.84,1118.92,2499592085.0,0.0
2018-07-18,1127.6,1130.03,1124.34,2502062102.0,0.0
2018-07-17,1128.24,1128.67,1115.1,2503481898.0,0.0
2018-07-16,1121.76,1128.03,1119.52,2489117481.0,0.0
2018-07-13,1128.94,1130.94,1127.08,2505040124.0,0.0
2018-07-12,1127.72,1128.06,1118.02,2502335830.0,0.0
2018-07-11,1107.06,1113.61,1103.7,2456481455.0,0.0
2018-07-10,1121.45,1122.67,1116.25,2488427174.0,0.0
2018-07-09,1122.17,1122.29,1116.41,2490017917.0,0.0
2018-07-06,1113.62,1114.33,1101.35,2471047790.0,0.0
2018-07-05,1100.68,1100.89,1087.68,2442328188.0,0.0
2018-07-03,1084.09,1094.64,1083.55,2405529870.0,0.0
2018-07-02,1086.9,1087.23,1069.01,2411749130.0,0.0
2018-06-29,1078.88,1086.67,1078.88,2393959049.0,0.0
2018-06-28,1077.97,1079.79,1065.14,2391946553.0,815052.0
2018-06-27,1071.98,1094.17,1071.83,2379464905.0,0.0
2018-06-26,1090.99,1094.09,1086.7,2421655502.0,0.0
2018-06-25,1090.91,1100.51,1084.03,2421474410.0,0.0
2018-06-22,1107.36,1112.47,1105.71,2457988405.0,0.0
2018-06-21,1108.94,1120.5,1107.73,2461496963.0,0.0
2018-06-20,1118.68,1120.47,1113.23,2483108596.0,0.0
2018-06-19,1114.72,1115.93,1105.69,2474325879.0,1078214.0
2018-06-18,1122.67,1123.89,1114.69,2493057046.0,0.0
2018-06-15,1125.79,1126.27,1114.58,2463874945.0,0.0
2018-06-14,1125.45,1126.81,1121.11,2463127962.0,0.0
2018-06-13,1119.53,1129.17,1117.54,2450155230.0,0.0
2018-06-12,1124.94,1125.85,1117.49,2462007117.0,0.0
2018-06-11,1119.3,1122.73,1116.66,2449650671.0,0.0
2018-06-08,1115.85,1116.82,1107.28,2442105767.0,0.0
2018-06-07,1114.12,1123.43,1107.52,2438327397.0,274023.0
